@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,161,kobieta,'\'(30.4-42.8]\'',202.73,1,2505,11,dobry
48,66,mê¿czyzna,'\'(55.2-67.6]\'',1500,1,3000,98,dobry
48,65,kobieta,'\'(42.8-55.2]\'',600,1,1300,11,dobry
16,9,mê¿czyzna,'\'(-inf-30.4]\'',200,2,1000,12,dobry
48,65,kobieta,'\'(55.2-67.6]\'',500,1,1000,13,dobry
48,60,mê¿czyzna,'\'(55.2-67.6]\'',800,1,1000,11,dobry
48,242,kobieta,'\'(67.6-inf)\'',1000,1,2421.55,13,dobry
48,34,kobieta,'\'(55.2-67.6]\'',400,1,1172.2,11,dobry
48,16,kobieta,'\'(30.4-42.8]\'',600,1,1290,11,dobry
48,34,kobieta,'\'(30.4-42.8]\'',900,0,2200,11,dobry
48,18,kobieta,'\'(55.2-67.6]\'',200,0,921.58,16,z?y
48,76,kobieta,'\'(55.2-67.6]\'',300,1,997,13,dobry
48,158,kobieta,'\'(55.2-67.6]\'',400,0,1279.58,16,z?y
48,62,kobieta,'\'(55.2-67.6]\'',500,1,962,13,dobry
48,30,kobieta,'\'(55.2-67.6]\'',300,2,810,13,dobry
21,6,mê¿czyzna,'\'(42.8-55.2]\'',400,2,600,12,dobry
48,382,kobieta,'\'(55.2-67.6]\'',300,1,1680,11,dobry
3,0,mê¿czyzna,'\'(55.2-67.6]\'',400,1,611.36,12,dobry
